"municipality_name","id","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Melchnau",75602440333,1122,55.3,318,293,52,48,326,295,52.5,47.5,229,379,37.7,62.3,363,253,58.9,41.1
"Merzligen",75602430741,332,66,101,118,46.1,53.9,86,133,39.3,60.7,75,139,35,65,131,88,59.8,40.2
"Mirchel",75602460615,477,55.8,149,112,57.1,42.9,156,110,58.6,41.4,96,164,36.9,63.1,159,107,59.8,40.2
"Mont-Tramelan",75602410437,111,56.8,41,21,66.1,33.9,24,38,38.7,61.3,32,29,52.5,47.5,39,24,61.9,38.1
"Moosseedorf",75602460544,2733,59.1,748,829,47.4,52.6,673,941,41.7,58.3,1037,522,66.5,33.5,978,621,61.2,38.8
"Mörigen",75602420742,670,69.9,266,192,58.1,41.9,232,236,49.6,50.4,149,307,32.7,67.3,336,127,72.6,27.4
"Mötschwil",75602450416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mötschwil und Rüti b.L.",NA,254,54.7,62,72,46.3,53.7,67,72,48.2,51.8,54,79,40.6,59.4,80,56,58.8,41.2
"Moutier",75602410700,4678,54.5,1516,969,61,39,1021,1530,40,60,1249,1190,51.2,48.8,1426,1091,56.7,43.3
"Mühleberg",75602460668,2236,62.3,674,704,48.9,51.1,645,747,46.3,53.7,506,843,37.5,62.5,906,479,65.4,34.6
"Mühledorf ",NA,182,69.2,61,63,49.2,50.8,53,73,42.1,57.9,45,80,36,64,63,60,51.2,48.8
"Mühledorf (BE)",75602460875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mühlethurnen",75602460876,1097,67.6,292,439,39.9,60.1,272,470,36.7,63.3,317,409,43.7,56.3,401,341,54,46
"Münchenbuchsee",75602460546,6984,60.4,1914,2245,46,54,1446,2772,34.3,65.7,1687,2427,41,59,2331,1857,55.7,44.3
"Münchenwiler",75602460669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Münchenwiler und Clavaleyres",NA,386,56.2,116,101,53.5,46.5,108,109,49.8,50.2,55,160,25.6,74.4,154,62,71.3,28.7
"Münsingen",75602460616,8786,67.6,2534,3308,43.4,56.6,2004,3935,33.7,66.3,2270,3483,39.5,60.5,3325,2567,56.4,43.6
"Müntschemier",75602430498,786,63.5,292,207,58.5,41.5,271,226,54.5,45.5,150,341,30.5,69.5,366,129,73.9,26.1
"Muri bei Bern",75602460356,9450,71.2,2640,4005,39.7,60.3,1855,4878,27.6,72.4,2300,4311,34.8,65.2,3870,2825,57.8,42.2
"Neuenegg",75602460670,3836,60.6,1107,1169,48.6,51.4,1135,1189,48.8,51.2,818,1451,36.1,63.9,1537,767,66.7,33.3
"Nidau",75602420743,4543,54.6,1020,1405,42.1,57.9,813,1668,32.8,67.2,1142,1268,47.4,52.6,1233,1210,50.5,49.5
"Niederbipp",75602440981,2963,54.2,845,746,53.1,46.9,899,708,55.9,44.1,547,1026,34.8,65.2,1129,470,70.6,29.4
