"id","municipality_name","yes2010","yes2014","yes2016"
75602500592,"Schwanden bei Brienz",58.7,46.3,45
75602500593,"Unterseen",59.7,54,42.6
75602500594,"Wilderswil",68.5,62.6,51.3
75602500782,"Guttannen",61.5,64.5,48.5
75602500783,"Hasliberg",60.8,61.3,55.9
75602500784,"Innertkirchen",80.3,71,59.4
75602500785,"Meiringen",61.4,54.9,45.7
75602500786,"Schattenhalb",67.8,66,59.3
75603009030,"LU-Ausland-CH",42.1,32.2,35.2
75604001201,"Altdorf (UR)",49.3,46.2,40
75604001202,"Andermatt",59,50.6,47.2
75604001203,"Attinghausen",66.8,63.9,56.9
75604001204,"Bauen",62.9,64.4,51.5
75604001205,"Bürglen (UR)",65.7,63.7,54.4
75604001206,"Erstfeld",61.8,59.8,51.9
75604001207,"Flüelen",60.9,57.6,52.5
75604001208,"Göschenen",73,65.6,58.5
75604001209,"Gurtnellen",66.5,62.2,58.6
75604001210,"Hospental",63.9,50,52.9
75604001211,"Isenthal",57.9,54.8,51.3
75604001212,"Realp",57.6,47.3,41.9
75604001213,"Schattdorf",65.5,61.3,53.4
75604001214,"Seedorf (UR)",63.5,63.5,54.2
75604001215,"Seelisberg",54.9,63,52.9
75604001216,"Silenen",70.6,67.7,62.6
75604001217,"Sisikon",67.3,65,52.6
75604001218,"Spiringen",76.9,78.6,77.4
75604001219,"Unterschächen",83.8,84.9,76.1
75604001220,"Wassen",75.6,69.5,63
75604009040,"UR-Ausland-CH",45.9,34.3,42.8
75605011301,"Einsiedeln",65.8,63.9,53
75605021311,"Gersau",61.9,57.5,46.9
75605031321,"Feusisberg",66.9,60.2,54.6
75605031322,"Freienbach",63.3,58.1,49.8
75605031323,"Wollerau",61.1,56.4,50.4
75605041331,"Küssnacht (SZ)",60.3,55.7,46
75605051341,"Altendorf",61.8,64.1,53.1
75605051342,"Galgenen",71.5,68.3,57.5
75605051343,"Innerthal",73.7,76.5,64.5
75605051344,"Lachen",56.2,56.8,45.2
75605051345,"Reichenburg",71.9,70.9,62.7
75605051346,"Schübelbach",72.3,69.3,58.8
75605051347,"Tuggen",74,72.3,62.5
75605051348,"Vorderthal",87.8,85.4,81.2
75605051349,"Wangen (SZ)",70.3,66.4,55.5
75605061361,"Alpthal",87.9,86.4,81.1
75605061362,"Arth",65.7,60.7,50.7
75605061363,"Illgau",78.7,78.4,58.9
75605061364,"Ingenbohl",59.4,56.1,47.3
75605061365,"Lauerz",77.4,70.4,62.3
75605061366,"Morschach",65.5,64.4,62.6
75605061367,"Muotathal",83.6,77.9,75.8
75605061368,"Oberiberg",76.3,67.3,64.3
75605061369,"Riemenstalden",84,71.1,71.4
75605061370,"Rothenthurm",84.1,78.4,72.6
75605061371,"Sattel",73.8,70.1,64.2
75605061372,"Schwyz",63.3,60,49.5
75605061373,"Steinen",68.3,65.1,57.5
75605061374,"Steinerberg",75.5,75.5,65.6
75605061375,"Unteriberg",89.8,87.7,81.3
75606001401,"Alpnach",62.3,60,52.7
75606001402,"Engelberg",59.2,57.6,50.9
