Local Measure F - CITY/COUNTY OF SAN FRANCI (190),,,,,,,,,,
,,,,,,,,,,
Precinct Totals,,,,,,,,,,
PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7539/7538,VBM,7539,1,1603,382,23.83,185,194,7,0
Pct 7542/7541,Election Day,7542,1,1520,354,23.29,218,127,6,0
Pct 7542/7541,VBM,7542,1,1520,385,25.33,192,188,7,0
Pct 7543/7544,Election Day,7543,1,1654,309,18.68,171,135,3,0
Pct 7543/7544,VBM,7543,1,1654,483,29.20,218,266,6,0
Pct 7546/7547,Election Day,7546,1,1740,415,23.85,240,172,3,0
Pct 7546/7547,VBM,7546,1,1740,441,25.34,208,230,6,1
Pct 7548/7535,Election Day,7548,1,1682,379,22.53,205,171,3,0
Pct 7548/7535,VBM,7548,1,1682,453,26.93,215,237,7,0
Pct 7552,Election Day,7552,1,686,167,24.34,78,86,3,0
Pct 7552,VBM,7552,1,686,179,26.09,74,106,0,0
Pct 7553 MB,Election Day,7553,1,171,2,1.17,2,0,0,0
Pct 7553 MB,VBM,7553,1,171,77,45.03,30,46,1,0
Pct 7554/7549,Election Day,7554,1,1512,330,21.83,166,159,5,0
Pct 7554/7549,VBM,7554,1,1512,432,28.57,194,232,9,0
Pct 7555/7551,Election Day,7555,1,1456,369,25.34,190,176,3,0
Pct 7555/7551,VBM,7555,1,1456,400,27.47,149,255,6,0
Pct 7556/7557,Election Day,7556,1,908,212,23.35,93,114,5,0
Pct 7556/7557,VBM,7556,1,908,275,30.29,92,186,1,0
Pct 7601,Election Day,7601,1,810,113,13.95,75,34,4,0
Pct 7601,VBM,7601,1,810,144,17.78,71,72,2,1
Pct 7604/7603,Election Day,7604,1,1460,261,17.88,160,95,11,0
Pct 7604/7603,VBM,7604,1,1460,328,22.47,174,152,6,0
Pct 7605/7611,Election Day,7605,1,1483,154,10.38,81,61,11,1
Pct 7605/7611,VBM,7605,1,1483,308,20.77,135,144,28,0
Pct 7607/7602,Election Day,7607,1,1683,237,14.08,152,78,7,0
Pct 7607/7602,VBM,7607,1,1683,387,22.99,202,174,9,1
Pct 7608/7609,Election Day,7608,1,1281,118,9.21,51,57,12,0
Pct 7608/7609,VBM,7608,1,1281,353,27.56,146,190,19,0
Pct 7612/7606,Election Day,7612,1,1382,163,11.79,83,73,7,0
Pct 7612/7606,VBM,7612,1,1382,327,23.66,147,174,9,0
Pct 7613/7614,Election Day,7613,1,1842,236,12.81,151,74,12,0
Pct 7613/7614,VBM,7613,1,1842,390,21.17,191,187,13,2
Pct 7615/7617,Election Day,7615,1,1745,149,8.54,81,64,11,0
Pct 7615/7617,VBM,7615,1,1745,366,20.97,165,183,18,0
Pct 7616,Election Day,7616,1,582,85,14.60,32,42,1,0
Pct 7616,VBM,7616,1,582,162,27.84,80,82,5,0
Pct 7618,Election Day,7618,1,800,113,14.12,73,37,2,0
Pct 7618,VBM,7618,1,800,228,28.50,105,120,5,0
Pct 7619,Election Day,7619,1,1328,144,10.84,51,91,2,0
Pct 7619,VBM,7619,1,1328,343,25.83,141,193,12,0
Pct 7621,Election Day,7621,1,841,84,9.99,53,31,1,0
Pct 7621,VBM,7621,1,841,219,26.04,99,120,3,0
Pct 7622/7624,Election Day,7622,1,1797,153,8.51,80,60,13,0
Pct 7622/7624,VBM,7622,1,1797,327,18.20,148,171,11,0
Pct 7623/7629,Election Day,7623,1,1455,189,12.99,94,86,9,0
Pct 7623/7629,VBM,7623,1,1455,293,20.14,128,159,6,0
Pct 7625,Election Day,7625,1,845,84,9.94,31,48,5,0
Pct 7625,VBM,7625,1,845,361,42.72,90,249,20,0
Pct 7626,Election Day,7626,1,850,107,12.59,40,65,2,0
Pct 7626,VBM,7626,1,850,254,29.88,95,157,7,0
Pct 7627,Election Day,7627,1,977,95,9.72,38,56,3,0
Pct 7627,VBM,7627,1,977,261,26.71,96,156,11,0
Pct 7628,Election Day,7628,1,899,115,12.79,75,40,0,0
Pct 7628,VBM,7628,1,899,224,24.92,93,132,4,0
Pct 7632,Election Day,7632,1,631,99,15.69,53,46,0,0
Pct 7632,VBM,7632,1,631,157,24.88,63,94,3,0
Pct 7633/7631,Election Day,7633,1,1466,195,13.30,79,114,2,0
Pct 7633/7631,VBM,7633,1,1466,428,29.20,146,273,11,0
Pct 7634,Election Day,7634,1,848,110,12.97,43,65,1,0
Pct 7634,VBM,7634,1,848,234,27.59,97,131,8,0
Pct 7636/7635,Election Day,7636,1,1443,177,12.27,81,96,2,0
Pct 7636/7635,VBM,7636,1,1443,340,23.56,127,212,5,1
Pct 7637,Election Day,7637,1,958,91,9.50,36,52,3,0
Pct 7637,VBM,7637,1,958,293,30.58,109,181,6,0
Pct 7638,Election Day,7638,1,883,81,9.17,24,57,0,0
Pct 7638,VBM,7638,1,883,308,34.88,104,198,11,0
